co_name,contact
"Argosy Insurance Brokers Ltd.
諾志保險經紀有限公司",argomego@netvigator.com
"Arrize Financial Insurance Services Limited
艾瑞金融保險服務有限公司",angel.leung@arrize.com
"Arvuda Insurance Services Ltd.
富利達保險服務有限公司",broker@arvuda.com
"ASA Wealth Management Limited
富國財富管理有限公司","admin@psggp.com,venus@psggp.com"
"Ascent Up Insurance Brokers Limited
上晉保險經紀有限公司",linus.cheong@ascentup.com.hk
"Asia Cosmos Wealth Management Ltd.
亞洲環球財富管理有限公司",admin@asiacosmos.com
"Asia Glory Insurance Brokers Ltd.
廣盛保險顧問有限公司",alllw@asiaglory.com.hk
Asia Link Insurance Services Limited,info@asia-link.com;conniechow@asia-link.com
"Asia One Asset Management Ltd.
宏亞資產管理有限公司",admin@asiaonefg.com
"Asia One Prestige Limited
宏亞尊貴理財有限公司",admin@asiaonefg.com
Asia Pacific Investment Advisors Ltd.,info@apg-hk.com
"Asia Professional Insurance Brokers Ltd.
亞洲專業保險經紀有限公司",api@asiaprofessional.com.hk
"Asia Wealth Management Centre Ltd.
亞洲財富管理中心有限公司",jonescheng@asiawealth.net
"ASI-Union Global Assets Management Ltd.
安聯資產管理有限公司",gary@asi-hk.com
"Assurance Appraisal Ltd.
衡量保險經紀有限公司",info@assurance-appraisal.com
"Aurex Insurance Brokers Limited
歐力保險顧問有限公司",peter.luk@aurex.com.hk
"Avondale Wealth Management Limited
亞迪財富管理有限公司",info@avondale-wm.com
"Ayers Alliance Wealth Management Ltd.
澳豐財富管理有限公司",operations@aawm.com.hk
"BC Wealth Management Limited
百川財富管理有限公司",andy.teow@bcwm.hk
"Bectic Insurance Broker Ltd.
伯特保險經紀有限公司",bectichk@netvigator.com
"Best Bright Insurance and Financial Services (HK) Limited
益輝保險(香港)有限公司",pcyan@bbinfhk.com
"Bestfi Insurance Brokers Limited
卓才保險經紀有限公司",ri@bestfi.com
"Best Leader Wealth Management Ltd.
百麗財富管理有限公司",Kenneth.w@best-leader.com
"Better Wealth Management Co. Ltd.
貝德理財發展有限公司",darcy.hung@better-wealth.com.hk
"Billion Insurance Brokers Ltd.
忠億保險經紀有限公司",yimkawing88@gmail.com
"Blue Oak International (HK) Insurance Consultant Limited
宏泰國際(香港)保險顧問有限公司",ce@blueoak.com.hk
"Blue Ocean Wealth Management (Hong Kong) Ltd.
藍海財富管理(香港)有限公司",kevinmok@blueoceanhk.com
"Bosi Asset Management Ltd.
博思資產管理有限公司",enquiry@bosi.com.hk
"Bothfaith Insurance Consultancy Ltd.
保宏保險顧問有限公司",bothfaith@hotmail.com
Bright Fortune (Far East) Ltd.,chander@brightfortune.com;shekhar@brightfortune.com
"Brilliant Insurance Broker Ltd.
鑄博誠品保險經紀有限公司",elaine.cheung@bibhk.com
"BS Wealth Management Limited
藍石財富管理有限公司",belinda@bsgroup.hk
"Canaan Investment Management Ltd.
迦南投資管理有限公司",info@canaaniml.com
"Canaway International Ltd.
勤威國際有限公司",insurance@canaway1996.com
"CBF Financial Solution Ltd.
恒富策略有限公司",operation@cbf.hk
CCW Global Limited,sdc@ccw-global.com
"Centaline Financial Services (International) Ltd.
中原理財(國際)有限公司",hr@centawealth.com
"Centaline Financial Services Ltd.
中原理財有限公司",hr@centawealth.com
"Centaline Wealth Management Ltd.
中原資產管理有限公司",hr@centawealth.com
"Central Insurance Management Limited
中環保險管理有限公司",patrickho@central-hk.com
"Century Investment Planning Limited
世紀投資策劃有限公司",a.ce@centuryinv.com.hk
"Changjiang Wealth Management Limited
長江財富管理有限公司",junli@cjsc.com.hk;patrickchan@cjsc.com.hk
"Chartered Wealth Management Co. Ltd.
首域資產管理有限公司",avril@chartered.com.hk
"Charter Gilman Insurance Brokers Ltd.
基利民保險顧問有限公司","admin@charter-gilman.com.hk,hcheung@charter-gilman.com.hk"
"Charterlloyd Insurance Brokers Ltd.
國民亞太風險顧問有限公司","admin@charterlloyd.com,lewis@charterlloyd.com"
"Charter Management Group Limited
卓佳管理集團有限公司",angie@chartermgt.com.hk;admin@chartermgt.com.hk
"Cherami Hailing Sun Wealth Management Limited
謝諾恒盛財富管理有限公司",info@cherami.com.hk
"Chevalier (Insurance Brokers) Ltd.
其士(保險顧問)有限公司",sian_ng@chevalier.com
"Chief Champion Financial Services Company Limited
鐦信金融服務有限公司",service@chiefchampion.com
"Chief Financial Services Limited
致富金融服務有限公司","wmd@chiefgroup.com.hk,compliance_license@chiefgroup.com.hk"
"Chifu Wealth Management (Hong Kong) Limited
置富理財(香港)有限公司",ce@chifuhk.com
"China Elite Risk Management and Actuarial Consulting Company Limited
中精風險管理與精算咨詢有限公司",secretary@chinaelite.hk;ce@chinaelite.hk
"China Galaxy International Wealth Management (HK) Co. Ltd.
中國銀河國際財富管理(香港)有限公司",legalandcompliance@chinastock.com.hk
"China Industrial Securities International Wealth Management Limited
興證國際私人財富管理有限公司",james.liu@xyzq.com.hk;sam.leung@xyzq.com.hk
"China Jiang Tai Insurance Brokers Limited
中國江泰保險經紀有限公司",adashen@cnjiangtai.com.hk
"China Life Consulting Co., Limited
中國人壽顧問有限公司",shirleyng@chinalife.com.hk
"China Rise Insurance Broker Limited
華晉保險經紀有限公司",info@crib.hk
"China Tong Bao Insurance Brokers Ltd.
中國通保保險經紀有限公司",general@tbib.cn
"China Tonghai Financial Management Limited
中國通海財資管理有限公司",oliver.chiu@tonghaifinancial.com
"China United Insurance Brokers Ltd.
中華聯合保險顧問有限公司",brokers.cui@gmail.com
"Choice Insurance Broker Ltd.
才思保險經紀有限公司",anita.sham@choiceinsbroker.hk
"Chuang Fu Wealth Management Limited
創富財富管理有限公司",terry.avondale@gmail.com
"Cinergy Insurance Services Limited
先機保險顧問有限公司",Info@cinergy.hk;noralee@cinergy.hk
"CIS Wealth Management Limited
順安財富管理有限公司",wm.ce@cisgroup.hk;wm.compliance@cisgroup.hk
"Citadel Alliance Financial Services Limited
寰雅理財顧問有限公司",admin@citadel-financial.com.hk
Citibase Group Ltd.,info@citibasegroup.com.hk
"Citybase Insurance Brokers Ltd.
兆基保險經紀有限公司",citytop@citybase.com.hk
"Civic Insurance Brokers Ltd.
誠安保險顧問有限公司",eric.cs.wong@civic-ins.com.hk
"CMB Wing Lung Insurance Brokers Limited
招商永隆保險顧問有限公司",masonwoo@cmbwinglungbank.com
"Co-Fame Insurance Brokers Ltd.
卓毅保險經紀有限公司",cofamemichael@yahoo.com.hk
"Colman Li Consulting Limited
嘉泓顧問有限公司",cl@colmanli.com
"Commonwealth International Limited
聯富理財有限公司",admin@commonwealthhk.com
"Compass Wealth Management Ltd.
晉譽財富管理有限公司",admin@compasswealth.com.hk
Consolidated Management Group Capital Partner Limited,wilson.ching@cpartnerhk.com
"Consolidated Marketing Group International Wealth Management Ltd.
安基國際財務規劃有限公司","thomas.ching@cmghk.com,administrator@cmghk.com"
"Convoy Financial Services Ltd.
康宏理財服務有限公司",licenseinfo@convoy.com.hk;
Convoy Wealth Management Limited,LCD_INFO@convoy.com.hk
"Core Pacific - Yamaichi Wealth Management Limited
京華山一財富管理有限公司",compliance@cpy.com.hk
"CPS Insurance Brokers Ltd.
翹楚保險顧問有限公司",wendy@cpsinsurance.com.hk
"CSCI Insurance Broker Limited
建投(國際)保險經紀有限公司",henrietteli@csci.hk;insurancebroker@csci.hk
"CTHK Asset Management Limited
華匯資產管理有限公司",ce@cthkasset.com
"CTX Special Risks Limited
誠品保險顧問有限公司",thomas_cheung@ctx-risks.com
CXA Insurance Brokers Hong Kong Limited,benny@cxagroup.com
Cyber Insurance Brokers Ltd.,fkeung@admedilink.hk
"DC Insurance Consulting Limited
德萃保險顧問有限公司",insurance.info@dcwealth.com
"Delightful Wealth Management Limited
怡泰財富管理有限公司",info@delightfulwml.com
"Delta Asia Wealth Management Ltd.
滙業財富管理有限公司",compliancehk@delta-asia.com;li.jeffrey@delta-asia.com
"Diligence Insurance Services Limited
誠智保險服務有限公司",desmond.cheng@diligence-is.com
"Dragon Wealth Management Limited
龍騰財富管理有限公司",wilsoncph88@gmail.com
"Dreams Wealth Management Group Limited
夢想財富管理集團有限公司",cs@dreams-wm.com
"D & R Insurance Brokers Ltd.
匯信保險顧問有限公司",dannywong.dr@gmail.com
"Dynamic Partners Ltd.
冠景保險顧問有限公司",dpinsurance@yahoo.com.hk
"Dynasty Financial Group Limited
尊尚理財集團有限公司",chiefexecutive@dynastygroup.com.hk
"Eddid Insurance Consultancy Limited
艾德保險顧問有限公司",ce@eddidinsurance.com
"Elite Financial Services Ltd.
卓越理財顧問有限公司",telite@netvigator.com
"Emerald Wealth Management Limited
安睿財富管理有限公司",info@emdwm.com
"Emperor Wealth Management Ltd.
英皇財富管理有限公司",wealthmanagement@emperorgroup.com
Entertainment Insurance Brokers (H.K.) Ltd.,jeffrey.mcnally@eib-hk.com
"Epic Insurance Brokers Ltd.
協和保險業務有限公司",kristal@epic-ins.imsbiz.com.hk
"Equator Asset Protection Limited
赤道資產保障有限公司",alvin.tam@equator-ap.com;ken.kwok@equator-ap.com
"Essence International Wealth Management Ltd.
安信國際財富管理有限公司",ericchan@eif.com.hk
"Everbest Insurance & Financial Services Ltd.
恒泰保險財資服務有限公司",compliance@eifs.com.hk
"Ever Fountain Global Wealth Management Limited
恒源環球財富管理有限公司",charles@1416888.com
"Evergreen Insurance Brokers Ltd.
亨隆保險顧問有限公司",evergreenhongkong@gmail.com
"Everon Insurance Services Ltd.
恒安保險業務有限公司",emma@everon-hk.com
"Ever United Advisers Ltd.
永聯(亞洲)保險顧問有限公司",carna@euadvisers.com
"Ever Yield Wealth Management Co. Ltd.
恒業財富管理有限公司",info@everyieldgp.com
"eWorld Insurance Brokers Ltd.
世網保險顧問有限公司",stanley@eworldsurance.com
"Excel Insurance Brokers Ltd.
恒進保險顧問有限公司",peggy.fung@eib.hk
"Excellink Financial Services Ltd.
聯駿理財有限公司",admin@excellink.com.hk
Expatriate Insurance Brokers (HK) Ltd.,marc@expatinsurance.com.hk
"Field Harvest Inc Limited
業禾有限公司",info@fieldharvest.com.hk;ericlu@fieldharvest.com.hk
"Financial Global Wealth Management Limited
富誠環球理財有限公司",danny.yu@financial-wm.com.hk
"Financial One Platform Services Limited
第一理財顧問有限公司",admin@financialone.com.hk;ivan@financialone.com.hk
"Finexis Advisory (HK) Limited
滙信顧問(香港)有限公司",operations@finexis.com.hk
"First Wealth Management Ltd.
第一財富管理有限公司",janha@firstwmhk.com;joyce@firstwmhk.com
"Flintstone Wealth Management Limited
富萊財富管理有限公司",enquiry@flintstonewealth.com
"Focus Wealth Management Ltd.
百達財富管理有限公司",alanma@focus-group.com.hk
"Fortstone International (Hong Kong) Limited
富石國際 (香港) 有限公司",info@fortstone.hk;lilyqiu@fortstone.hk
"Fortunaire Financial Planning Limited
富甲理財顧問有限公司",bryan.chan@ffp-hk.com
"Fortune Asset Management HK Limited
宏鑫資產管理(香港)有限公司",info@fortuneasset.com.hk
"Fortune Financial Services Co. Ltd.
恒富理財服務有限公司",mrip2112@gmail.com
"Fortune Freedoness Wealth Management Limited
富強天一財富管理有限公司",info@ffwml.com
"Fortune Union Capital Management Limited
合盈資本管理有限公司",info@fu-cm.com
"Fortune Uniwin Financial Group Limited
眾和恒富理財集團有限公司",wingwong@myfortune.com.hk
"Fortune Wealth Management Limited
富強財富管理有限公司","mandy@fortune-wealth.com.hk;admin@fortune-wealth.com.hk,"
"Foryou Capital Wealth Management Company Limited
富迪資產管理有限公司",admin@foryoucapital.com.hk
"FQ Life Wealth Management Limited
第一睿智財富管理有限公司",info@fqlife.com.hk
"Freeman Prestige Wealth Management Limited
民眾卓越財富管理有限公司",info@freemanwm.com
"Frontier Financial Advisory Services Ltd.
領譽理財服務有限公司",Selina.lam@frontiergroup.com.hk
"Frontier Insurance Consultants Ltd.
方達保險顧問有限公司",compliance@ffgwm.com
"Fubon Insurance Brokers Limited
富邦保險顧問有限公司",fubonbankhr.fbhk@fubon.com;Randy.Cheng@fubon.com
"Fulbright Wealth Management Ltd.
富昌財富管理有限公司",wm@fulbright.com.hk
"Fulixin Asset Management Ltd.
富力鑫資產管理有限公司",carol.chau@flx.com.hk;insurance@flx.com.hk
"Full Run Insurance Broker Ltd.
豐潤保險經紀有限公司",admin@efullrun.com
"Fu Ren Financial Services Limited
富仁理財有限公司","monicamo@furenfinance.com,admin@furenfinance.com"
GA Financial Solutions Limited,miko@gafsl.com.hk;gsaitoh@gafsl.com.hk
"Gallant Wealth Management Company Limited
佳信財富管理有限公司","info@gallantwealth.com,gallantwm@gmail.com"
"GBF Financial Company Limited
巨牛金融有限公司",andrew@minkfair.com.hk
"Gendvon Insurance Brokers Ltd.
駿夆保險顧問有限公司",info@gendvon.com
"Geoffrey Capital Hong Kong Ltd.
華美資本香港保險顧問有限公司",info@geoff.com.hk
"GET Mdream Wealth Management Ltd.
聯夢智易財富管理有限公司",compliance@gdwm.com.hk
"GF Wealth Management (Hong Kong) Ltd.
廣發財富管理(香港)有限公司",peggychan@gfgroup.com.hk
"GIB Insurance Brokers Ltd.
亞聯保險經紀有限公司",gilbertho@gib.com.hk
"GLF Wealth Management Limited
金祿豐財富管理顧問有限公司",bowie@glfwm.com;admin@glfwm.com
"Global Connection Insurance Consultants Ltd.
環聯保險顧問有限公司",kwchanglobal@yahoo.com.hk
"Global Finance Limited
萬國金融有限公司",ruby@globalfinance.hk
"Global Finance Wealth Management Ltd.
環球金融財富管理有限公司",fiona.globalfinance@gmail.com
"Global Financial Partners (Asia) Limited
環球金融(亞洲)有限公司",admin@gfpartners.com.hk;jessieng@gfpartners.com.hk
"Global Financial Platform Limited
環球理財平台有限公司",enquiry@gfplatform.com
"Global Prestige Wealth Management Limited
環球優越財富管理有限公司",admin@globalprestigewm.com
"Globe Risk Consultants Limited
全球風險顧問有限公司",feature.yip@pscinsurance.com.hk
"Globe Win Wealth Management Ltd.
全盈環球財富有限公司",globewinwealth@gmail.com
"Glore Financial Services Ltd.
環信理財服務有限公司",edwardlui@glore.com.hk;admin@glore.com.hk
"Glory Sun Wealth Management Limited
寶新財富管理有限公司",cs@hk1282wm.com
"Golden Gate International Consultants Limited
金瑞國際顧問有限公司",accounts@ggate.com.hk
"Golden Goat Insurance Brokers Limited
金羊保險經紀有限公司",manshun@kamluensec.com
"Golden Honest Insurance Brokers Ltd.
金誠保險顧問有限公司",john@ghib.com.hk
"Golden Honor Insurance Broker Ltd.
金信保險顧問有限公司",goldenhonor@gmail.com
"Golden Jade Wealth Management Limited
金瑜財富管理有限公司",kw@gjadegroup.com
"Golden Protection Insurance Brokers Ltd.
佳衛保險經紀有限公司",stephen@gpibrokers.com
"Good Excel International Investment Ltd.
卓佳國際投資有限公司",ce@toponeasset.com
"Good Faith Insurance Brokers Ltd.
卓譽保險顧問有限公司",info@good-faith.com
"Grandford Associates Consultants Ltd.
宏富保險理財顧問有限公司",admin@grandfordhk.com
"Grandnorm International Wealth Management Ltd.
洪範國際財富管理有限公司",Compliance@grandnorm.com;ceo@grandnorm.com
"Grandon Wealth Management Limited
弘延財富管理有限公司",terence.ng@grandon.com.hk;Compliance@grandon.com.hk
"Grandtag Financial Consultancy & Insurance Brokers Ltd.
廣達理財保險顧問有限公司",info@grandtag.com
"Grandwood Insurance Brokers Ltd.
偉然保險顧問有限公司",wilfred@grandwood.com.hk
"Gransing Wealth Management Limited
鼎成財富管理有限公司",ginlee@gransing.com
"Gravity Capital Management Limited
引力資本管理有限公司",cp.poon@ourgravity.com
"Greater China Wealth & Risk Management Limited
大中華產險管理有限公司",wealth_mgt@greaterchina.com.hk
"Greater National Insurance Brokers Co. Ltd.
泛邦保險顧問有限公司",wuwj@cngnib.com
Greenwich Insurance Brokers Limited,ivylo@greenw.com.hk
"Groveland Financial Services Ltd.
恒澤理財服務有限公司",info@groveland.com.hk
"GTR Insurance Brokerage Ltd.
四海保險經紀有限公司",rw@gtr4s.com
GWS Asia Limited,pjr@gws-asia.com
"Hang Kay Insurance Consultants Ltd.
恒基保險顧問有限公司",cs@hangkayinsurance.com
"Hang Tang Wealth (HK) Insurance Brokers Limited
恒天財富(香港)保險經紀有限公司",stephenho@chtwm.com.hk
"Hanson Insurance Brokers Ltd.
恒信保險經紀有限公司",hanson@hanson-insurance.com.hk
"Harris Fraser (Hong Kong) Ltd.
晉裕理財有限公司",admin@harris-fraser.com;halena@harris-fraser.com
"Harvest Insurance Brokers (HK) Limited
嘉實保險顧問(香港)有限公司",alicelam@hk.jsfund.cn
"Harvest Wealth Management Ltd.
豐收財富管理有限公司",admin@wmharvest.com
"HCYC Wealth Management (Asia) Company Limited
宏財永利財富管理(亞洲)有限公司",ce.simon@hcyc.com.hk
"Health Class Insurance Brokers Ltd.
康貴保險顧問有限公司",healthclassib@healthclass.com.hk
"Heng An Finance Group Limited
恆安金融集團有限公司",hengangroup662@gmail.com
"HF Financial Service Ltd.
匯福理財服務有限公司",hfceangus@gmail.com
"HF Partners Limited
晉裕(香港)有限公司",info@hfpartnersintl.com;compliance@harris-fraser.com
"Hilsen Insurance Brokers Ltd.
希信保險經紀有限公司",ben@hilsen.com.hk
Himark Insurance Group Limited,info@himarkgroup.com.hk;admin1@himarkgroup.com.hk
"Holdcover Insurance Brokers Limited
保號保險經紀有限公司",info@holdcover.com
"Homcheong Insurance Brokers Limited
鴻昌保險經紀有限公司",info@homcheong.com
"Hong Kong Actuarial Insurance Consultants Company Limited
香港精算保險顧問有限公司",ro@hkaic.com
"Hong Kong Ai Jia Wealth Management Limited
香港愛家財富管理有限公司",cs@aijiawealth.com.hk
Hong Kong Asset Management Limited,admin@hkam.com.hk
"Hong Kong Baiji Financial Advisory Co. Ltd.
香港百基理財顧問咨詢有限公司",admin@jkbaiji.com.hk;alfredchan@jkbaiji.com.hk
"Hong Kong Noble Wealth Management Limited
香港諾德資產管理有限公司",pollylam@noblefo.com
"Hong Kong Yuanfeng Insurance Brokers Limited
香港元豐保險經紀有限公司",admin@hkyfib.com
"HPI Financial Planning Limited
言成財富策劃有限公司",cs-fp@hpifp.com
"HQI Insurance Brokers Limited
灝翹國際保險經紀有限公司",CS@erichgroup.com
"Huabo Wealth Management (Hong Kong) Company Limited
華博財富管理 (香港) 有限公司",ruoxu.liu@huabowm.com
"Hua Chuang Insurance Broker Limited
華創保險顧問有限公司",stellah@huachuang.com.hk
"Hua Fu Assets Management Limited
華富資產管理有限公司",ceo@huafu-hk.com
"Huarong Wealth Management Ltd.
華融財富管理有限公司",info.huarong@yahoo.com
"Hua Thai Brokerage Ltd.
華泰保險事務有限公司",huathai166@gmail.com
"Hung Kai Insurance Brokers Co. Ltd.
鴻基保險經紀有限公司",hkib@shkp.com
"Hung Sing Insurance Broker Limited
鴻昇保險經紀有限公司",ceo@huafu-hk.com
HWI Hong Kong Ltd.,kevinoverton@hwi.hk
"Hywin International Insurance Broker Limited
海銀國際保險經紀有限公司",georgechan@hywin.com.hk
"IAM Wealth Limited
星安財富有限公司",enquiry@iamlegacy.com
I-brokers Limited,michael.smith@i-brokers.com
Ichor International Investments Ltd.,kevin@ichor.com.hk
"iECO Financial Consulting Ltd.
奕高理財顧問有限公司",eric.tang@iecowealth.com
INLE Risk Management Limited,info@inlerisk.com
"Insight Financial Services Limited
遠見富偉金融服務有限公司",simon.kwan@insightfinancial.com.hk
Insprof International Limited,kglee14@gmail.com
"Insucore Insurance Brokers Ltd.
富高保險顧問有限公司",frankie_insucore@yahoo.com.hk
"Insulink Insurance Brokers Ltd.
信寧保險專業有限公司",bennyinsulink@yahoo.com.hk
Insurance 110 Co. Ltd.,eve@nnihk.com
InsureDIY Limited,shujun.lim@insurediy.com
"Insurewell Insurance Brokers Ltd.
誠保保險顧問有限公司",insurewe@netvigator.com
"Insur-Union Insurance Brokers Ltd.
英保聯保險顧問有限公司",info@insur-union.com
"Insu-Value Insurance Consultants Ltd.
恒發保險顧問有限公司",bennytam@insu-value.com
"Integrity Financial Services Ltd.
誠信理財有限公司",info@integrity-financial.com.hk
International Commerce Corporation,info@iccfinancial.com
"International Risk Management Limited
國際風險管理有限公司",risk.management@macyre.com
"IPG Wealth Management Ltd.
信譽理財有限公司",info@ipgwm.com
IPP Wealth Advisers Limited,frompiba@ippfa.com.hk;alanto@ippfa.com.hk
IRC Asia Insurance Brokers Ltd.,sara.lui@mmc.com
"ISA Insurance Brokers Limited
永業保險經紀有限公司",derick.sze@isa-insurance.com;service@isa-insurance.com
iSmart Brokers Limited,gci.genes@gmail.com
"JA Financial Group Co. Ltd.
博亞金融集團有限公司",compliance@jafinancial.hk
"Jireh International Group Limited
以勒國際集團有限公司",jireh@jirehintl.com
"JMC Professional Insurance Brokers HK Limited
富喬鑫專業保險經紀(香港)有限公司",jet.jin@jmccapital.com.hk
"JM Insurance Brokers Ltd.
臻誠保險經紀有限公司",joseph@jm-ins.com.hk
"JOY Wealth Management Limited
晉奧資產管理有限公司",beatrice.leung@fargowealth.com.hk
"Jumbo Alliance Funds Ltd.
博亞基金有限公司",compliance@jafunds.com
"Kai Fung Insurance Brokers Ltd.
啟豐保險經紀有限公司",info@kaifung.com
"Kai Wing Insurance Broker Co. Ltd.
啟榮保險經紀有限公司",lawrence@kaiwinginsurance.com
"Keen Eagle Insurance Brokers Ltd.
鷹宇保險經紀有限公司",ellis@keen-eagle.net;albert@keen-eagle.net
"Key Fortune Insurance Brokerage Limited
啟才保險經紀有限公司",kkchan627@gmail.com
Keystone Wealth Limited,jamie.williams@kstone.hk
"KGI Investments Management Limited
凱基投資理財有限公司",im-info@kgi.com
"Kind Luck Wealth Management Limited
仁福財富管理有限公司",alfredchan@kindluck.com;kimhong@kindluck.com
"King Privilege Wealth Management Limited
京粵財富管理有限公司",Ken.wong@kingpwm.com;operation@kingpwm.com
"Kingstone International Wealth Management Ltd.
景淳國際創富理財有限公司",account@kingstonewealth.com;connie.s@kingstonewealth.com
"Kinlou Insurance Broker (HK) Limited
乾璐保險經紀(香港)有限公司",admin@kinlou.com
"Kirin Wealth Management Limited
麒麟財富管理有限公司",license@kirinfinancial.com
"KMC Insurance Consultants Company Ltd.
鴻運保險顧問有限公司",sawina@kmcic.com.hk
"KODC Limited
恪達有限公司",sue@kodc.com.hk
"Kong Seng Asset Management Limited
港生資產管理有限公司",veronica@ks-asset.com.hk;admin@ks-asset.com.hk
"K U M Insurance Brokers Ltd.
基建保險顧問有限公司",Angie@kum.com.hk;admin@kum.com.hk
LAL`s Insurance Brokers Ltd.,lal@lals-insurance.com
"Legacy Group Limited
國寶財富管理有限公司",cs@legacyhk.net
"Legend Crown Wealth Management Consultants Limited
利泰豐財富管理顧問有限公司",wealth@legendc.com
"Lerthai Park Well Wealth Management Limited
勒泰百惠財富管理有限公司",aclthpw@yahoo.com
"Linden Group Limited
理一集團有限公司",anthony.bux@lindengp.com;alan.wang@lindengp.com
"Link Insurance Services Limited
聯安保險顧問有限公司",Grazia@linkins.com.hk
"Links Wealth Management Ltd.
靈獅財富管理有限公司",admin@linkswealth.com
"Lion Asia Wealth Management Limited
辰林財富管理有限公司",titanma@lionasia.com.hk
"LIS Wealth Management Ltd.
德悅財富管理有限公司",georgesanto@lis.hk
"Lloyds Pacific Financial Consultants Ltd.
萊司太平洋顧問有限公司",rickychu@azzurra.com.hk
"L.M.W. Fortune Consultant Company Limited
永勤財富管理有限公司",yongqin9522@gmail.com
"Logos Wealth Management Group Co. Ltd.
豐盛財富管理集團有限公司",logos_wealth@ec365.com.hk
"Loksoo Consultants Ltd.
創宇顧問有限公司",gary.soo@loksoo.com.hk
"Loyal Insurance Advisers Ltd.
樂信保險經紀有限公司",vickichan@loyal-insurance.com.hk
"LPC Insurance Brokers Limited
安邦保險經紀有限公司",info@lpcinsbrokers.com
LTC Wealth Management Ltd.,chester.lee@ltc.com.hk
"Luk Fook Wealth Management (HK) Ltd.
六福財富管理(香港)有限公司",hrdept@lff.com.hk
"Macroscopica International Wealth Management Ltd.
遠策國際財富管理有限公司",gary@asi-hk.com
"Manning Insurance Consultants Limited
萬聯保險顧問有限公司",info@manning-ins.com.hk
"Max Victory Wealth Management (Hong Kong) Limited
極富財富管理(香港)有限公司",admin@maxvictorywm.com.hk
"MCG Private Wealth Ltd.
德禧私人資本管理有限公司",stephen.wong@mcgprivatewealth.net
"MCH Risks Management Ltd.
大嘉風險管理有限公司",edmund@hkmch.com.hk
"Mega Top Insurance Services Ltd.
萬達保險顧問有限公司",info@megatopinsurance.com
"MEGA Wealth Management (Asia) Ltd.
萬佳財富管理(亞洲)有限公司",info@megawealthasia.com
"Melbourne Insurance Brokers Ltd.
萬邦保險經紀有限公司",yk.lee@melbourneins.com
"MG Insurance & Financial Management Ltd.
萬兆豐保險財資管理有限公司",info@mgim.com.hk
"Minkfair Insurance Brokers Ltd.
美輝保險顧問有限公司",andrew@minkfair.com.hk
"Mintai Wealth Management Limited
民泰財富管理有限公司",wealth@mtfg.com.hk
"Minz Insurance Brokers Limited
旻知保險經紀有限公司",admin@minz-insurance.com
"Money Concepts (Asia) Holdings Limited
美國萬利理財控股有限公司",info@moneyconceptsasia.com
MoneyHero Insurance Brokers Limited,anthony.wai@moneyhero.com.hk
MoneySmart HK Financial Limited,hkinsurance@moneysmart.com
"Morality & Honesty Insurance Broker Limited
德誠保險經紀有限公司",info@mhib.hk
"Mpfsupermart Co. Ltd.
積金超市有限公司",account@mpfsupermart.com.hk
